prog lib count num_calls time
nullker native 0 8388608 12608.160000
nullker native 0 16777216 25167.428000
nullker native 1 1024 1.930000
nullker native 1 2048 3.870000
nullker native 1 4096 7.645000
nullker native 1 8192 14.576000
nullker native 1 16384 29.061000
nullker native 1 32768 59.444000
nullker native 1 65536 116.105000
nullker native 1 131072 232.417000
nullker native 1 262144 395.501000
nullker native 1 524288 782.965000
nullker native 1 1048576 1572.530000
nullker native 1 2097152 3140.093000
nullker native 1 4194304 6273.480000
nullker native 1 8388608 12540.560000
nullker native 1 16777216 25076.293000
nullker native 2 1024 1.931000
nullker native 2 2048 3.850000
nullker native 2 4096 7.639000
nullker native 2 8192 14.556000
nullker native 2 16384 29.103000
nullker native 2 32768 58.037000
nullker native 2 65536 116.313000
nullker native 2 131072 229.299000
nullker native 2 262144 392.810000
nullker native 2 524288 784.319000
nullker native 2 1048576 1571.662000
nullker native 2 2097152 3142.692000
nullker native 2 4194304 6281.323000
nullker native 2 8388608 12563.783000
nullker native 2 16777216 25143.079000
nullker native 3 1024 1.925000
nullker native 3 2048 3.851000
nullker native 3 4096 7.658000
nullker native 3 8192 14.506000
nullker native 3 16384 29.193000
nullker native 3 32768 58.076000
nullker native 3 65536 116.383000
nullker native 3 131072 230.686000
nullker native 3 262144 391.538000
nullker native 3 524288 781.478000
nullker native 3 1048576 1567.546000
nullker native 3 2097152 3139.788000
nullker native 3 4194304 6269.944000
nullker native 3 8388608 12546.773000
nullker native 3 16777216 25069.748000
nullker native 4 1024 1.924000
nullker native 4 2048 3.862000
nullker native 4 4096 7.633000
nullker native 4 8192 14.547000
nullker native 4 16384 29.111000
nullker native 4 32768 58.003000
nullker native 4 65536 116.376000
nullker native 4 131072 232.829000
nullker native 4 262144 398.024000
nullker native 4 524288 784.508000
nullker native 4 1048576 1573.480000
nullker native 4 2097152 3139.734000
nullker native 4 4194304 6275.518000
nullker native 4 8388608 12546.614000
nullker native 4 16777216 25070.691000
nullker native 5 1024 1.670000
nullker native 5 2048 3.293000
nullker native 5 4096 6.543000
nullker native 5 8192 12.294000
nullker native 5 16384 24.577000
nullker native 5 32768 48.953000
nullker native 5 65536 97.914000
nullker native 5 131072 195.743000
nullker native 5 262144 392.773000
nullker native 5 524288 783.770000
nullker native 5 1048576 1574.795000
nullker native 5 2097152 3143.471000
nullker native 5 4194304 6282.858000
nullker native 5 8388608 12580.392000
nullker native 5 16777216 25153.583000
nullker native 6 1024 1.916000
nullker native 6 2048 3.872000
nullker native 6 4096 7.634000
nullker native 6 8192 14.544000
nullker native 6 16384 29.210000
nullker native 6 32768 58.203000
nullker native 6 65536 116.366000
nullker native 6 131072 232.485000
nullker native 6 262144 393.469000
nullker native 6 524288 783.498000
nullker native 6 1048576 1571.326000
nullker native 6 2097152 3140.647000
nullker native 6 4194304 6264.444000
nullker native 6 8388608 12527.807000
nullker native 6 16777216 25067.070000
nullker native 7 1024 1.926000
nullker native 7 2048 3.839000
nullker native 7 4096 7.660000
nullker native 7 8192 14.561000
nullker native 7 16384 29.069000
nullker native 7 32768 58.140000
nullker native 7 65536 116.144000
nullker native 7 131072 228.217000
nullker native 7 262144 392.149000
nullker native 7 524288 783.238000
nullker native 7 1048576 1572.047000
nullker native 7 2097152 3140.495000
nullker native 7 4194304 6267.781000
nullker native 7 8388608 12546.230000
nullker native 7 16777216 25100.963000
nullker native 8 1024 1.688000
nullker native 8 2048 3.300000
nullker native 8 4096 6.539000
nullker native 8 8192 12.336000
nullker native 8 16384 24.511000
nullker native 8 32768 48.958000
nullker native 8 65536 97.993000
nullker native 8 131072 195.946000
nullker native 8 262144 392.690000
nullker native 8 524288 784.694000
nullker native 8 1048576 1573.828000
nullker native 8 2097152 3146.828000
nullker native 8 4194304 6291.588000
nullker native 8 8388608 12585.252000
nullker native 8 16777216 25207.118000
nullker native 9 1024 1.916000
nullker native 9 2048 3.869000
nullker native 9 4096 7.611000
nullker native 9 8192 14.613000
nullker native 9 16384 29.131000
nullker native 9 32768 58.367000
nullker native 9 65536 116.631000
nullker native 9 131072 233.111000
nullker native 9 262144 395.504000
nullker native 9 524288 785.364000
nullker native 9 1048576 1573.954000
nullker native 9 2097152 3150.368000
nullker native 9 4194304 6289.309000
nullker native 9 8388608 12580.401000
nullker native 9 16777216 25135.924000
